什麼是A型肝炎？,A型肝炎是由A型肝炎病毒感染所造成的急性肝臟發炎
何時需要進行霍亂的預防接種或投藥,不建議接種，如需投藥需經醫師指示
接種霍亂疫苗需要額外付費嗎？,不建議接種，如需投藥需經醫師指示
疑似感染霍亂了怎麼辦？,若出現突然發燒，全身倦怠不適，食慾不振，嘔吐及腹部不舒服，請立即就醫治療
罹患霍亂要注意什麼？,於罹病期間，需注意排泄物的處理、手部清潔與環境及器具消毒等隔離措施，且應暫時停止從事餐飲業、照護病人及照顧嬰幼兒，降低疾病散播之風險
罹患霍亂有需要隔離？,病患如採住院治療，其住院期間，應採接觸隔離，並加強個人衛生，廁所應提供充足衛生紙，如廁後要使用肥皂或洗手乳洗手，避免污染環境及把手
罹患霍亂可以上班上課？,鼓勵在家自行修養，並做好個人衛生管理，避免排泄物污染環境及感染他人
我需要作霍亂篩檢嗎？,如經醫療人員判斷符合臨床條件(急性腸胃炎，快速腹瀉或嘔吐的症狀)可進一步檢測
疑似罹患霍亂要去哪裡就醫？,請儘速至附近醫療院所就診
霍亂要怎麼治療？,"遵循醫師指示:
 1.補充液體：治療的最重要步驟是足夠電解質液體以矯正脫水、酸中毒和低血鉀症。輕度病患的病情，通常可以很快獲得改善 2.抗生素治療：嚴重病患可使用，以減少症狀及帶菌時間"
我適合使用霍亂用藥？,遵循醫師指示
能自行領用霍亂用藥？,遵循醫師指示
了解霍亂用藥,遵循醫師指示
霍亂用藥可否自行停藥？,遵循醫師指示
什麼是C型肝炎？,C型肝炎是由C型肝炎病毒感染所造成的肝臟發炎。又可分為急、慢性C型肝炎。主要透過接觸病患的血液或體液而感染
C型肝炎會有什麼症狀？,好問題！一般人多無症狀，少部份的人會有發燒、疲倦、厭食、隱約腹部不適、噁心、嘔吐或黃疸等情形。感染C型肝炎病毒後，約70％-80％會演變成慢性肝炎
罹患C型肝炎的嚴重性？,慢性C型肝炎患者有高風險進展到肝硬化或肝癌
C型肝炎有什麼併發症,少部分急性感染者會發生猛爆型肝炎。慢性感染者較可能進展成肝硬化或肝癌
C型肝炎有哪些高風險族群,靜脈注射藥癮者、接受未經篩檢anti-HCV的血液製劑或器官移植者、洗腎患者、醫療工作人員、HIV感染者、C型肝炎感染者所生的子女、C型肝炎感染者的性伴侶
C型肝炎傳染途徑為何？,這個問題非常好！C型肝炎病毒主要是藉由體液或血液，經由性行為、輸血、注射等途徑而傳染，可分為水平傳染及垂直傳染
C型肝炎潛伏期和可傳染期,潛伏期通常為2週-6個月，通常為6-9週
C型肝炎流行地區有哪些,C型肝炎為全球性疾病；在臺灣C型肝炎盛行率有區域差異，C型肝炎個案多集中在中南部沿海地區、部份原住民社區與宜蘭、花蓮、台東等地
如何預防C型肝炎,1.不與別人共用刮鬍刀、牙刷、針具、刮痧板、指甲剪，以免刮破皮膚或黏膜而感染 2.避免不必要的輸血、打針、針灸、刺青、穿耳洞等行為，使用拋棄式或充分消毒後的器具 3.醫療工作人員執行病患之醫療處置，如有血液暴露風險，應採取預防措施，避免相互傳染 4.正確全程使用保險套，不從事無保護的性行為 5.有感染C型肝炎風險的人，建議接受C型肝炎衛教及篩檢，如為HIV感染者，建議依「愛滋病檢驗與治療指引」，每年定期監測anti-HCV血清學變化，以早期發現及早期治療，保護自己的健康及避免傳染他人
除了接種或投藥外的C型肝炎預防方法,1.不與別人共用刮鬍刀、牙刷、針具、刮痧板、指甲剪，以免刮破皮膚或黏膜而感染 2.避免不必要的輸血、打針、針灸、刺青、穿耳洞等行為，使用拋棄式或充分消毒後的器具 3.醫療工作人員執行病患之醫療處置，如有血液暴露風險，應採取預防措施，避免相互傳染 4.正確全程使用保險套，不從事無保護的性行為 5.有感染C型肝炎風險的人，建議接受C型肝炎衛教及篩檢，如為HIV感染者，建議依「愛滋病檢驗與治療指引」，每年定期監測anti-HCV血清學變化，以早期發現及早期治療，保護自己的健康及避免傳染他人
接種C型肝炎疫苗需要額外付費嗎？,C型肝炎目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
疑似感染C型肝炎了怎麼辦？,個案如為確定病例，於潛伏期之性接觸者或血體液接觸者，如經疫調研判為個案疑似感染來源或可能遭受個案感染，應進行接觸者採檢
罹患C型肝炎要注意什麼？,建議個案於發病日後滿6個月，應至醫療院所進行預後檢查，以瞭解是否康復或成為慢性帶原者。如成為慢性帶原者，建議定期至醫療院所接受追蹤檢查
我需要作C型肝炎篩檢嗎？,有C型肝炎傳染的危險行為者，建議接受衛教及篩檢，以早期發現及早期治療
疑似罹患C型肝炎要去哪裡就醫？,請儘速至附近醫療院所就診
C型肝炎要怎麼治療？,目前國內治療之藥物有干擾素與抗病毒藥物(如Ribavirin)等，另國際間已有各式新藥開發上市，其治癒率甚至可達9成以上，目前部分新藥已有健保給付，惟仍有部分新藥健保尚未給付，須採自費治療
什麼是D型肝炎？,D型肝炎是由D型肝炎病毒感染所造成的肝臟發炎。只有B型肝炎帶原者，才能感染D型肝炎。主要透過接觸病患的血液或體液而感染
D型肝炎會有什麼症狀？,好問題！通常為突然發病，症狀與B型肝炎類似，如有腹部不適、食慾不振、全身無力、疲倦、噁心、嘔吐、黃疸、茶色尿等情形
罹患D型肝炎的嚴重性？,B型肝炎帶原者感染急性D型肝炎有可能引起猛爆性肝炎
D型肝炎有什麼併發症,B型肝炎帶原者感染急性D型肝炎有可能引起猛爆性肝炎
D型肝炎有哪些高風險族群,B型肝炎帶原者
D型肝炎傳染途徑為何？,這個問題非常好！與B型肝炎病毒傳染方式類似，包括暴露在血液、體液、受污染的針、注射器、血液製劑及性行為感染
D型肝炎潛伏期和可傳染期,潛伏期約2～8週
D型肝炎流行地區有哪些,D型肝炎為全球性疾病，但感染盛行率在不同地區有很大差異
如何預防D型肝炎,感染B型肝炎者，才有可能感染D型肝炎，故預防B型肝炎病毒感染即可預防D型肝炎病毒感染
接種D型肝炎疫苗需要額外付費嗎？,感染B型肝炎者，才有可能感染D型肝炎，故預防B型肝炎病毒感染即可預防D型肝炎病毒感染
疑似罹患D型肝炎要去哪裡就醫？,請儘速至附近醫療院所就診
什麼是急性病毒性E型肝炎？,E型肝炎是由E型肝炎病毒感染所造成的急性肝臟發炎
急性病毒性E型肝炎會有什麼症狀？,好問題！感染E型肝炎後，可能出現發燒、全身倦怠不適、食慾不振、嘔吐、噁心、肌肉痠痛及腹部不舒服之症狀，數天後發生黃疸
罹患急性病毒性E型肝炎的嚴重性？,一般人口感染E型肝炎的致死率低(約千分之一)，但懷孕第三期的孕婦感染E型肝炎時，其致死率可達20％
急性病毒性E型肝炎有什麼併發症,E型肝炎感染嚴重者可能造成急性肝衰竭，僅有少數病例會因猛爆性肝炎而死亡
急性病毒性E型肝炎有哪些高風險族群,前往E型肝炎流行地區（例如非洲、南美洲、中國大陸、東南亞及南亞地區等）旅遊或工作者等
急性病毒性E型肝炎傳染途徑為何？,這個問題非常好！E型肝炎主要藉由糞口傳染，最為常見是經由受污染的水傳播，近年許多研究也顯示，E型肝炎是可以經由接觸或食用到未煮熟的豬肉、豬內臟及其製品而傳播給人的人畜共通傳染病
急性病毒性E型肝炎潛伏期和可傳染期,E型肝炎的潛伏期約為15至64天，通常為26至42天。可感染期尚不清楚，但世界衛生組織資料指出，通常病患從出現症狀前至出現症狀後的3-4週內，可透過糞便排放病毒
急性病毒性E型肝炎流行地區有哪些,E型肝炎病毒流行區通常發生於環境衛生較不好的開發中國家包括印度、緬甸、尼泊爾、巴基斯坦、阿爾及利亞、利比亞、索馬利亞、墨西哥及中國大陸等
如何預防急性病毒性E型肝炎,"1.注意飲水及飲食衛生，不可生飲、生食，加強食物製備者如廚師及飲食從業人員之衛生觀念
 2.保持良好衛生習慣，飯前、便後及處理食物前需正確洗手，預防糞口途徑傳染，尤其是前往開發中或未開發國家之旅遊者，更應注意飲食衛生
 3.注意環境衛生，特別是廁所環境清潔"
除了接種或投藥外的急性病毒性E型肝炎預防方法,"1.注意飲水及飲食衛生，避免生飲、生食，尤其是豬肉、豬內臟、生蠔或水產貝類
 2.處理生熟食需使用不同器具，避免交叉污染
 3.保持良好衛生習慣，飯前、便後及處理食物前需正確洗手"
何時需要進行急性病毒性E型肝炎的預防接種或投藥,目前尚無特定核准之有效疫苗或藥物
接種急性病毒性E型肝炎疫苗需要額外付費嗎？,急性病毒性E型肝炎目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
疑似感染急性病毒性E型肝炎了怎麼辦？,若出現突然發燒，全身倦怠不適，食慾不振，嘔吐及腹部不舒服，黃疸等病徵，請立即就醫治療
罹患急性病毒性E型肝炎要注意什麼？,E型肝炎病患於罹病期間，需注意排泄物的處理、手部清潔與環境及器具消毒等腸胃道隔離措施，且應暫時停止製備食物、照護病人及照顧嬰幼兒，降低病毒散播之風險
罹患急性病毒性E型肝炎有需要隔離？,E型肝炎病患於罹病期間，需注意排泄物的處理、手部清潔與環境及器具消毒等腸胃道隔離措施，且應暫時停止製備食物、照護病人及照顧嬰幼兒，降低病毒散播之風險
疑似罹患急性病毒性E型肝炎要去哪裡就醫？,請儘速至附近醫療院所就診
急性病毒性E型肝炎要怎麼治療？,目前針對E肝病毒，並沒有已證實療效的特效藥物，良好的支持性療法可幫助絕大部分的病人渡過難關
什麼是弓形蟲感染症？,寄生在細胞內的寄生蟲，是分布於全球性的疾病，可以感染大部分溫血動物，但以貓科動物為最終宿主。
弓形蟲感染症會有什麼症狀？,好問題！免疫功能正常的成人或孩童中，少部份病患會出現明顯症狀，其中最常見的為淋巴結腫大，病人常會有倦怠感
罹患弓形蟲感染症的嚴重性？,懷孕婦女如果是懷孕期間第一次感染，會有傳染給胎兒的危險性
弓形蟲感染症有什麼併發症,先天性弓蟲病，出生時85 %沒有任何症狀的，不過經過幾個月後，新生兒會開始出現視力不良、學習障礙和心智發育遲緩等現象
弓形蟲感染症傳染途徑為何？,這個問題非常好！弓形蟲感染症主要是透過食入未經煮熟的牛、羊、豬肉與食入含有具感染力蟲體的動物組織及體液傳染
弓形蟲感染症潛伏期和可傳染期,潛伏期為10~23天
弓形蟲感染症流行地區有哪些,全球性
如何預防弓形蟲感染症,肉類食用前要以66℃以上加熱或煮熟，肉類貯於-20℃滿24小時，在烹調的過程中應避免試吃；接觸過生肉的物品都要以肥皂水、清水洗淨
除了接種或投藥外的弓形蟲感染症預防方法,弓形蟲感染症患者之懷孕婦女，應找婦產科醫師諮詢相關問題
接種弓形蟲感染症疫苗需要額外付費嗎？,弓形蟲感染症目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
疑似感染弓形蟲感染症了怎麼辦？,大部份免疫功能正常的感染者，除非其有嚴重且顯著器官傷害，否則並不需要特別的抗微生物製劑治療。僅有視網膜脈絡炎或明顯的器官傷害得的病患需要特別治療
疑似罹患弓形蟲感染症要去哪裡就醫？,請儘速至附近醫療院所就診
弓形蟲感染症用藥有哪些種類？,建議申請pyrimethamine，請參考衛生福利部疾病管制署專案進口寄生蟲治療藥物領用標準流程
弓形蟲感染症用藥可否自行停藥？,請依照醫囑按時服藥
什麼是布氏桿菌病？,布氏桿菌主要在動物間傳播，如綿羊、鹿、牛及其它動物。人類則是因為接觸到感染動物的組織或食入乳製品而感染
布氏桿菌病會有什麼症狀？,好問題！布氏桿菌病主要的特徵為持續性、間歇性或不規則發熱，也會造成類似流感的症狀，如發燒、冒汗、頭疼、背痛及四肢無力
罹患布氏桿菌病的嚴重性？,嚴重者甚至會造成中樞神經系統的病變
布氏桿菌病有哪些高風險族群,從事屠宰業、畜牧業者、獵人或獸醫，以及實驗室人員
布氏桿菌病傳染途徑為何？,這個問題非常好！主要為接觸到感染動物的組織、吃或喝到汙染的奶製品，若牛奶沒有經過加熱殺菌，則這些細菌便可能傳播給喝牛奶或吃乳酪的人
布氏桿菌病潛伏期和可傳染期,一週到數月
布氏桿菌病的國內流行期,台灣不是布氏桿菌病流行疫區
布氏桿菌病流行地區有哪些,常見於地中海地區(葡萄牙、西班牙、南法國、義大利、希臘、土耳其、北非)、東非、中南美洲、中東等地，東南亞部分生產乳製品的農場也曾爆發流行
如何預防布氏桿菌病,避免生飲牛奶或羊奶：旅行時避免食用未經消毒或處理的牛奶、乳酪或冰淇淋。一般牛奶以60度℃加熱30分鐘即可達到滅菌效果
除了接種或投藥外的布氏桿菌病預防方法,避免生飲牛奶或羊奶：旅行時避免食用未經消毒或處理的牛奶、乳酪或冰淇淋。一般牛奶以60度℃加熱30分鐘即可達到滅菌效果
接種布氏桿菌病疫苗需要額外付費嗎？,布氏桿菌病目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
疑似感染布氏桿菌病了怎麼辦？,當身體出現持續性、間歇性或不規則發熱、頭疼、背痛及四肢無力等症狀，並有「布氏桿菌病」流行地區旅遊史、曾接物動物且曾生飲牛奶或羊奶時，請儘速就醫並主動告知醫師相關動物接觸史及旅遊史等訊息，以及早獲得妥適的治療
疑似罹患布氏桿菌病要去哪裡就醫？,請儘速附近醫療院所就診，並主動告知醫師相關動物接觸史及旅遊史等訊息
什麼是肉毒桿菌中毒？,肉毒桿菌中毒是因肉毒桿菌(Clostridium botulinum ) 產生神經毒素所引起的嚴重麻痺病症。
肉毒桿菌中毒會有什麼症狀？,好問題！肉毒桿菌中毒的症狀從便秘開始，昏睡、倦怠、食慾不振、眼瞼下垂、吞嚥困難、失去頭部控制、肌肉張力低下及全身性虛弱，有時會發展至呼吸無力衰竭而死亡。
罹患肉毒桿菌中毒的嚴重性？,嚴重時會因呼吸困難、呼吸肌麻痺而導致呼吸衰竭死亡。症需及時診斷給予治療及適當醫療照護，以避免死亡。
肉毒桿菌中毒有什麼併發症,肉毒桿菌中毒嚴重者可能造成呼吸困難、呼吸肌麻痺而導致呼吸衰竭死亡。。
肉毒桿菌中毒有哪些高風險族群,1歲以下之嬰兒，因免疫系統尚未健全，且腸道菌叢亦未發展完全，倘攝食含此菌孢子之食品(如蜂蜜)，該菌即可在腸內增殖並產生毒素，因而易造成中毒。
肉毒桿菌中毒傳染途徑為何？,"總共分為4種：
 1.食因型肉毒桿菌中毒：食品於製作或包裝過程如遭受孢子污染，且未經完全滅菌處理，在密閉或真空等缺氧保存環境時，孢子萌芽孳生而產生毒素，攝食後引起中毒。"
肉毒桿菌中毒潛伏期和可傳染期,"(一)食因型中毒之神經性症狀通常於12～36小時間出現，但亦有數天後才發作。潛伏期愈短病情通常愈嚴重，死亡率愈高。
 (二)創傷型中毒潛伏期約4-21天(中位數7天)。"
肉毒桿菌中毒流行地區有哪些,本病之發生屬全球性，全世界都有偶發案件
如何預防肉毒桿菌中毒,1.低酸性罐頭食品（其內容物pH值大於4.6，水活性大於0.85並包裝於密封容器，且於包裝前或後施行商業殺菌處理者）須經專業機構確認殺菌條件，並應符合罐頭食品良好衛生規範，以避免有害微生物及其孢子之存在 2.真空包裝製品應依規定於冰箱冷藏販售及保存，而蓋子脹起的罐頭製品不可食用，因肉毒桿菌毒素不耐熱，100℃加熱10分鐘即可破壞，家庭自製醃製及真空包裝食品食用前宜先煮沸才安全 3.為降低發生腸道型肉毒桿菌中毒之風險，1歲以下之嬰兒避免餵食蜂蜜
除了接種或投藥外的肉毒桿菌中毒預防方法,不建議民眾自製低酸性罐頭，因為無法有效達到商業殺菌，否則須透過多種方法配合處理，如降低pH值、水活性、溫度或提高鹽度等，進而預防肉毒桿菌中毒事件
接種肉毒桿菌中毒疫苗需要額外付費嗎？,肉毒桿菌中毒目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
疑似感染肉毒桿菌中毒了怎麼辦？,若出現疑似症狀時，請儘速至附近醫療院所就醫
罹患肉毒桿菌中毒要注意什麼？,請配合醫護人員指示進行治療
罹患肉毒桿菌中毒有需要隔離？,不需要
疑似罹患肉毒桿菌中毒要去哪裡就醫？,請儘速至附近醫療院所就診
肉毒桿菌中毒要怎麼治療？,多數病患須住院，以早期偵測可能發生危及生命的呼吸衰竭，並能即時給予呼吸器輔助與相關照顧；經臨床評估必要時，注射馬源性肉毒桿菌抗毒素
什麼是李斯特菌症？,李斯特菌症（Listeriosis）是由單核細胞增多性李斯特菌（Listeria monocytogenes，以下簡稱李斯特菌）感染產生的感染症
李斯特菌症會有什麼症狀？,好問題！免疫力正常者不易遭受李斯特菌感染或感染後僅有腹瀉、噁心、嘔吐等腸胃道症狀，然而對年長者、免疫力低下的族群、孕婦、胎兒及新生兒則可能引發侵襲性感染
罹患李斯特菌症的嚴重性？,依據世界衛生組織（WHO）2015年研究報告資料，李斯特菌症致死率可達25.9%
李斯特菌症有什麼併發症,李斯特菌症侵襲性感染者，可能引起敗血症、腦膜炎、骨髓炎、心包膜炎、腹膜炎等，伴隨死亡風險
李斯特菌症有哪些高風險族群,年長者、免疫力低下者、孕婦及新生兒等是李斯特菌症易感族群
李斯特菌症傳染途徑為何？,"1.主要是透過食用受李斯特菌污染的食物或水而感染
 2.孕婦感染後可經由胎盤將李斯特菌傳染給胎兒，新生兒亦可能在出生過程中，因接觸母親產道的李斯特菌而受到感染
 3.李斯特菌症亦是人畜共通傳染病，少數病例是經由直接接觸李斯特菌而感染，例如獸醫或畜產工作者經接觸帶菌動物或家畜排泄物而感染"
李斯特菌症潛伏期和可傳染期,潛伏期為3至70 天，通常為21天
李斯特菌症流行地區有哪些,李斯特菌症屬於全球性疾病，曾於歐洲（如：義大利、德國、英國及法國等)與北美洲（美國、加拿大等）引起疫情
如何預防李斯特菌症,目前無疫苗可預防，由於李斯特菌症主要是經由食用遭汙染的食物而感染，此菌於冷藏室的4℃條件下可持續生長繁殖，需加熱至72°C以上才可殺死，因此，熟食及謹慎處理食品、避免汙染是最重要的預防方法
除了接種或投藥外的李斯特菌症預防方法,"1.處理生熟食需使用不同器具，避免交叉污染
 2.處理生食後須徹底洗淨雙手及器具
 3.肉類應澈底煮熟
 4.分切瓜果後應儘早食用，避免置於室溫超過4小時或冷藏超過保存期限
 5.避免食用未經殺菌的生乳及其乳製品
 6.對於易腐敗的食品（如：海鮮、禽及畜肉類等）以及即食性食品（如：分切的生鮮蔬果、涼拌蔬菜及肉類等），宜儘早食用完畢
 7.高風險族群應避免食用低溫保存之肉醬、即食肉類加工品、即食食品、剩菜及未經殺菌程序的乳製品等；若要食用，請於食用前充分加熱；處理食物時，應避免熱狗等即食肉類加工品的汁液接觸到其他食品，並於處理後澈底洗淨雙手及器具"
接種李斯特菌症疫苗需要額外付費嗎？,李斯特菌症目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
疑似感染李斯特菌症了怎麼辦？,若出現疑似症狀時，請儘速至附近醫療院所就醫
罹患李斯特菌症要注意什麼？,請配合醫護人員指示進行治療
罹患李斯特菌症有需要隔離？,不需要
疑似罹患李斯特菌症要去哪裡就醫？,請儘速至附近醫療院所就醫
李斯特菌症要怎麼治療？,依據醫師診斷及評估，給予妥適的抗生素治療
什麼是兔熱病？,兔熱病為感染 Francisella tularensis 所引起之細菌性人畜共通傳染病，由於兔子是其重要感染源
兔熱病會有什麼症狀？,好問題！發病症狀與傳染途徑有關，根據感染方式及部位，可以分為數種。最常見為潰瘍腺體型，經由叮咬感染，在病源入侵處會產生一小潰瘍
兔熱病傳染途徑為何？,經吸血性節肢動物傳播 :包括蜱類如落磯山革蜱(Dermacentor andersoni)、鹿蠅(Deer fly)及灰色斑蚊(Aedes cinereus)等。經由這些病媒的叮咬或是其排泄物污染宿主的皮膚，而造成感染
兔熱病潛伏期和可傳染期,與所感染的菌量數有關，一般約為 3 - 5天，不會直接人傳人
兔熱病流行地區有哪些,以北緯30至70度之間區域，如:美國
如何預防兔熱病,在流行區要避免受到吸血寄生蟲與蚊蟲叮咬 且避免生飲河水、沐浴或游泳等
除了接種或投藥外的兔熱病預防方法,在流行區要避免受到吸血寄生蟲與蚊蟲叮咬 且避免生飲河水、沐浴或游泳等
接種兔熱病疫苗需要額外付費嗎？,兔熱病目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
疑似感染兔熱病了怎麼辦？,目前可用抗生素有效治療兔熱病。若身體出現癒合緩慢的潰瘍，並有局部淋巴結腫大等不適症狀時，請儘速就醫並主動告知醫師相關動物接觸史及旅遊史等訊息
疑似罹患兔熱病要去哪裡就醫？,請儘速附近醫療院所就診，並主動告知醫師相關動物接觸史及旅遊史等訊息
什麼是庫賈氏病？,庫賈氏病依發生病因分為散發型、遺傳型、醫源型及新型庫賈氏病 ，其中新型庫賈氏病與牛海綿樣腦症 (俗稱狂牛症)有高度相關。病原是異常變異的普利昂蛋白
庫賈氏病會有什麼症狀？,好問題！臨床症狀以早期神經學症狀為主，包含智能衰退或記憶力減退、人格改變、喪失平衡感或協調功能減退、話說不清楚、視覺異常或眼盲、異常抽動現象及進行性大腦功能喪失等
罹患庫賈氏病的嚴重性？,為進行性神經退化性疾病，由於異常的普利昂蛋白不斷地在神經細胞內複製堆積，最後導致腦部空洞化的一種病變，目前無藥物可治療，僅能提供症狀治療
庫賈氏病傳染途徑為何？,這個問題非常好！一般推測庫賈氏病是人體自行產生異常折疊的普利昂蛋白所致，部分研究則推測手術可能是危險因子。新型庫賈氏病主要是因食入牛海綿狀腦病致病原污染的食物而受感染
庫賈氏病潛伏期和可傳染期,散發型及遺傳型庫賈氏病的潛伏期尚不清楚，醫源型及新型庫賈氏病潛伏期從15個月到30年以上，潛伏期的長短與暴露途徑有關
庫賈氏病流行地區有哪些,散發型庫賈氏病在世界各地均有發生。新型庫賈氏病截至2018年3月，共有12個國家合計報告了231個新型庫賈氏病病例
如何預防庫賈氏病,禁止使用使用患者組織或器官進行移植手術，以及避免重複使用可能被污染的手術器械或腦電波圖測定電極以避免醫源性暴露。避免食用罹患牛海綿狀腦病之牛肉及其相關製品
除了接種或投藥外的庫賈氏病預防方法,禁止使用使用患者組織或器官進行移植手術，以及避免重複使用可能被污染的手術器械或腦電波圖測定電極以避免醫源性暴露。避免食用罹患牛海綿狀腦病之牛肉及其相關製品
何時需要進行庫賈氏病的預防接種或投藥,目前無特並核准之有效疫苗或藥物
接種庫賈氏病疫苗需要額外付費嗎？,庫賈氏病目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
我想了解庫賈氏病疫苗或預防藥品,目前無特並核准之有效疫苗或藥物
疑似感染庫賈氏病了怎麼辦？,請即早就醫進行評估
罹患庫賈氏病要注意什麼？,至新的醫療或安養機構，必須告知罹病情形
罹患庫賈氏病有需要隔離？,常規照護不需隔離，採標準防護措施即可
我需要作庫賈氏病篩檢嗎？,不需要
疑似罹患庫賈氏病要去哪裡就醫？,建議前往具神經內科專科之醫院就醫
庫賈氏病要怎麼治療？,目前無藥物可治療，以支持性療法、提供症狀治療為主
什麼是疱疹B病毒感染症？,疱疹B病毒感染症是一種人畜共通疾病，感染後會造成人類中樞神經系統疾病
疱疹B病毒感染症會有什麼症狀？,好問題！會出現急性發燒、頭痛、水泡病灶、淋巴性腦脊髓液內細胞增多和不同型態的神經症狀等
罹患疱疹B病毒感染症的嚴重性？,這個問題非常好！病患如未接受妥適醫療，其死亡率超過70%，而存活者常伴隨有嚴重的後遺症
疱疹B病毒感染症有什麼危險徵兆,如果個案在遭抓咬傷後3週內出現症狀，應立刻就醫，並告知曾被獼猴抓咬傷，以迅速接受治療
疱疹B病毒感染症有哪些高風險族群,飼養猴子的相關人員
疱疹B病毒感染症傳染途徑為何？,被猴子抓咬傷 : 被猴子咬傷或抓傷，皮膚、黏膜暴露於帶有病毒的猴子唾液、分泌物或其污染物中
疱疹B病毒感染症潛伏期和可傳染期,通常在3天至3星期的潛伏期。
疱疹B病毒感染症流行地區有哪些,南亞及東南亞地區
如何預防疱疹B病毒感染症,避免接觸與餵食猴子以及太靠近猴子以防遭咬傷或抓傷
除了接種或投藥外的疱疹B病毒感染症預防方法,避免接觸與餵食猴子以及太靠近猴子以防遭咬傷或抓傷
何時需要進行疱疹B病毒感染症的預防接種或投藥,遭猴子抓咬傷後，立刻使用肥皂或優碘澈底消毒傷口，然後以大量清水沖洗傷口15至20分鐘，儘速就醫
我可以公費接種或投藥嗎？,美國CDC建議提供Valacylovir 或Acyclovir 作為預防性投藥，但是該處方目前不符合我國健保給付規範，個案須自費使用
接種疱疹B病毒感染症疫苗需要額外付費嗎？,疱疹B病毒感染症目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
接種後或投藥後要注意什麼,疱疹B病毒潛伏期為3天至3週，因發病後致死率相當高，無論是否自費使用預防性投藥，在遭抓咬傷後3週內，個案都應監控身體症狀
疑似感染疱疹B病毒感染症了怎麼辦？,使用強效肥皂、碘液或漂白水快速、深入且徹底地來清潔消毒被猴子接觸的傷口，對於傷口較深或是接觸過有症狀的猴子的病人，應立即給予治療。目前已有許多抗病毒藥物使用於疱疹B病毒感染症的治療，因此若疑似感染，應儘速就醫並主動告知醫師相關暴觸史訊息，以及早獲得妥適的治療
疑似罹患疱疹B病毒感染症要去哪裡就醫？,請儘速附近醫療院所就診，並主動告知醫師相關暴觸史訊息，以及早獲得妥適的治療
疱疹B病毒感染症用藥可否自行停藥？,建議須由專業醫師評估
什麼是鉤端螺旋體？,是由鉤端螺旋體感染產生的感染症，是熱帶、亞熱帶地區常見的人畜共通感染病
鉤端螺旋體會有什麼症狀？,好問題！感染者的症狀不一，可能沒有症狀或產生各種症狀，從輕微到嚴重都有可能；輕微者最初症狀多半與感冒類似，包括發燒、頭痛、腸胃道不適、畏寒、紅眼、肌肉酸痛等症狀，有的還會以腦膜炎症狀表現
鉤端螺旋體有哪些高風險族群,此病易發生於野外經常接觸可能受感染動物排泄物污染之水源或屠體組織之工作者，如：農民、礦工、獸醫、畜牧業者、漁民及軍隊等
鉤端螺旋體傳染途徑為何？,可經由食入或接觸受感染動物之尿液或組織污染的水、土壤、食物而感染
鉤端螺旋體潛伏期和可傳染期,人與人間直接傳染極為罕見，螺旋體可經由尿液排除達一個月或更長，因此病人的污物（尤其是尿液）須小心處理。潛伏期通常為10天，範圍包含2~30天
鉤端螺旋體的國內流行期,見衛生福利部疾病管制署「傳染病統計資料查詢系統」
鉤端螺旋體流行地區有哪些,在世界各地，不論鄉村或城市，已開發或開發中國家，除了極地之外，皆有鉤端螺旋體病發生
如何預防鉤端螺旋體,1.避免在可能遭受污染的水中游泳或涉水 2.當工作必須暴露於病源環境時，採用適當的防護措施。高風險工作者，使用長靴、手套及圍裙 3.避免接觸可能遭受污染的水或土壤 4.進行滅鼠工作，保持居家環境清潔 5.隔離被感染的動物，避免其尿液污染環境 6.對畜養之動物施打疫苗
接種鉤端螺旋體疫苗需要額外付費嗎？,鉤端螺旋體目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
疑似感染鉤端螺旋體了怎麼辦？,就醫時主動告知醫師於發病前一個月內是否有動物接觸史、旅遊史或打掃污染環境之經驗（如：污水、溼土等），以利臨床診斷及治療之參考
疑似罹患鉤端螺旋體要去哪裡就醫？,請儘速附近醫療院所就診，就醫時主動告知醫師於發病前一個月內是否有動物接觸史、旅遊史或打掃污染環境之經驗（如：污水、溼土等）
鉤端螺旋體要怎麼治療？,1.抗生素治療:應即早給予有效的抗生素治療。 症狀嚴重：應該用靜脈注射Penicillin或第三代Cephalosporins。使用penicillin 需注意Jarisch-Herxheimer reaction，因治療後短暫時間內細菌大量死亡釋放出內毒素，而造成病情暫時惡化
什麼是類鼻疽？,由感染類鼻疽桿菌引起，屬假單孢菌屬革蘭氏陰性桿菌，此菌在土壤、水池及積水環境中存在，會感染馬、羊、豬等動物以及人類，其引起的病即稱為類鼻疽
類鼻疽會有什麼症狀？,"好問題！大部分症狀並不明顯，常常被人忽略以為是感冒，提醒注意以下臨床症狀：
 1. 肺炎
 2. 急性皮膚化膿與局部淋巴腫大
 3. 慢性化膿性類鼻疽
 4. 菌血症與敗血症"
