Answer,Question,RelativeQuestion,intent,entities
目前無疫苗可預防。<br />,接種肉毒桿菌中毒疫苗後會有什麼副作用?,肉毒桿菌中毒疫苗保護力可以持續多久?-疑似罹患肉毒桿菌中毒要去哪裡就醫?-疑似罹患肉毒桿菌中毒要去哪裡就醫?,疫苗副作用,肉毒桿菌中毒
若出現疑似症狀時，請儘速至附近醫療院所就醫。,疑似感染肉毒桿菌中毒了怎麼辦?,疑似罹患肉毒桿菌中毒要去哪裡就醫?-接種肉毒桿菌中毒疫苗後會有什麼副作用?-肉毒桿菌中毒會有什麼症狀?,疑似感染,肉毒桿菌中毒
請配合醫護人員指示進行治療。,罹患肉毒桿菌中毒要注意什麼?,肉毒桿菌中毒疫苗保護力可以持續多久?-接種肉毒桿菌中毒疫苗後會有什麼副作用?-肉毒桿菌中毒要怎麼治療?,感染注意事項,肉毒桿菌中毒
不需要。<br />,我需要做肉毒桿菌中毒篩檢嗎?,肉毒桿菌中毒要怎麼治療?-肉毒桿菌中毒傳染途徑為何?-肉毒桿菌中毒流行地區有哪些?,篩檢,肉毒桿菌中毒
請儘速至附近醫療院所就診。,疑似罹患肉毒桿菌中毒要去哪裡就醫?,我需要做肉毒桿菌中毒篩檢嗎?-肉毒桿菌中毒傳染途徑為何?-肉毒桿菌中毒有哪些高風險族群?,就醫地點,肉毒桿菌中毒
多數病患須住院，以早期偵測可能發生危及生命的呼吸衰竭，並能即時給予呼吸器輔助與相關照顧；經臨床評估必要時，注射馬源性肉毒桿菌抗毒素<br />如使用馬源性肉毒桿菌抗毒素治療，部分個案可能引起對馬血清製劑或馬源性蛋白的過敏反應(hypersensitivity)<br />,肉毒桿菌中毒要怎麼治療?,我能公費使用肉毒桿菌中毒用藥?-如何預防肉毒桿菌中毒?-除了接種或投藥外的肉毒桿菌中毒預防方法?,診斷與治療,肉毒桿菌中毒
如出現疑似肉毒桿菌中毒症狀，並經臨床醫師評估有抗毒素治療之需求時，可由醫療院所向衛生福利部疾病管制署申請肉毒桿菌抗毒素治療。<br />為緊急救治考量，國人或非本國籍之疑似肉毒桿菌中毒者均可申請使用本項抗毒素。惟因人為因素注射肉毒桿菌素（如：醫學美容）之疑似肉毒桿菌中毒個案，以及非本國籍、無本國居留證且無加入全民健康保險之外籍人士等，需自費使用。<br />,我能公費使用肉毒桿菌中毒用藥?,服用肉毒桿菌中毒用藥有哪些副作用?-肉毒桿菌中毒用藥有哪些廠牌?-肉毒桿菌中毒用藥可否自行停藥?,公費藥劑,肉毒桿菌中毒
如出現疑似肉毒桿菌中毒症狀，並經臨床醫師評估有抗毒素治療之需求時，可由醫療院所向衛生福利部疾病管制署申請肉毒桿菌抗毒素治療。<br />,我適合使用肉毒桿菌中毒用藥?,肉毒桿菌中毒要怎麼治療?-肉毒桿菌中毒用藥可否自行停藥?-了解肉毒桿菌中毒用藥?,合適用藥,肉毒桿菌中毒
如出現疑似肉毒桿菌中毒症狀，並經臨床醫師評估有抗毒素治療之需求時，可由醫療院所向衛生福利部疾病管制署申請肉毒桿菌抗毒素治療。<br />,能自行領用肉毒桿菌中毒用藥?,服用肉毒桿菌中毒用藥有哪些副作用?-這是肉毒桿菌中毒治療後的副作用嗎?-了解肉毒桿菌中毒用藥?,自行領藥,肉毒桿菌中毒
自費費用以專案進口實際單價計算，相關訊息可參考「衛生福利部疾病管制署專案進口肉毒桿菌抗毒素申請及使用注意事項」。<br />,自費肉毒桿菌中毒用藥藥多少錢?,肉毒桿菌中毒要怎麼治療?-肉毒桿菌中毒用藥有哪些廠牌?-肉毒桿菌中毒用藥後要注意什麼?,自費用藥,肉毒桿菌中毒
可以健保用藥治療，如經臨床醫師評估有抗毒素治療之需求時，再以專案進口抗毒素進行治療。<br />,了解肉毒桿菌中毒用藥?,肉毒桿菌中毒用藥後要注意什麼?-肉毒桿菌中毒用藥可否自行停藥?-服用肉毒桿菌中毒用藥有哪些副作用?,用藥介紹,肉毒桿菌中毒
肉毒桿菌中毒之治療用藥係依循醫師處方，另如經臨床醫師評估有抗毒素治療之需求時，可由醫療院所向衛生福利部疾病管制署申請肉毒桿菌抗毒素治療。<br />各家醫療院所儲備用藥不盡相同，請洽各醫療院所；另衛生福利部疾病管制署自十大醫藥先進國家所專案進口之肉毒桿菌抗毒素，未限定特殊廠牌。<br />,肉毒桿菌中毒用藥有哪些廠牌?,我能公費使用肉毒桿菌中毒用藥?-肉毒桿菌中毒用藥後要注意什麼?-服用肉毒桿菌中毒用藥有哪些副作用?,用藥類別,肉毒桿菌中毒
少數接受肉毒桿菌抗毒素治療之個案，可能發生對馬血漿製劑或馬源性蛋白過敏反應，需經臨床醫師審慎評估可能風險後再申請使用。<br />由於肉毒桿菌抗毒素製造原料為馬血漿，製造過程雖已進行傳染性疾病致病源去除或去活化，惟仍無法完全排除傳染性疾病致病原殘留之可能性，具有可能傳播其他感染性疾病之風險。<br />肉毒桿菌抗毒素含麥芽糖（maltose）成分，可能干擾某些血糖監測儀器檢測結果。因此，注射肉毒桿菌抗毒素的患者如需測量血糖，請採用具葡萄糖特異性的血糖測量方式，以獲取實際血糖值。<br />,肉毒桿菌中毒用藥後要注意什麼?,這是肉毒桿菌中毒治療後的副作用嗎?-肉毒桿菌中毒用藥有哪些廠牌?-服用肉毒桿菌中毒用藥有哪些副作用?,用藥注意事項,肉毒桿菌中毒
請參考用藥說明。<br />,這是肉毒桿菌中毒治療後的副作用嗎?,肉毒桿菌中毒要怎麼治療?-服用肉毒桿菌中毒用藥有哪些副作用?-肉毒桿菌中毒用藥後要注意什麼?,治療副作用,肉毒桿菌中毒
請參考用藥說明。<br />服藥後發生不適或緊急之情況，應立刻至醫院向醫師諮詢或接受必要之處置。<br />,服用肉毒桿菌中毒用藥有哪些副作用?,我能公費使用肉毒桿菌中毒用藥?-肉毒桿菌中毒用藥後要注意什麼?-服用肉毒桿菌中毒用藥有哪些副作用?,用藥副作用,肉毒桿菌中毒
請遵循醫囑用藥。<br />,肉毒桿菌中毒用藥可否自行停藥?,肉毒桿菌中毒要怎麼治療?-這是肉毒桿菌中毒治療後的副作用嗎?-了解肉毒桿菌中毒用藥?,自行停藥,肉毒桿菌中毒
肉毒桿菌中毒雖無人與人間的直接傳染風險，但部分病患須住院治療無法上班上課；建議生病期間接受治療並儘量休息以儘早恢復。<br />,罹患肉毒桿菌中毒有需要隔離?,肉毒桿菌中毒會有什麼症狀?-如何預防肉毒桿菌中毒?-疑似感染肉毒桿菌中毒了怎麼辦?,隔離,肉毒桿菌中毒
myURL-https://www.cdc.gov.tw/Category/List/XC25JElYhKJbo9ZS6fRD-g,肉毒桿菌中毒有什麼最新消息?,肉毒桿菌中毒會有什麼症狀?-如何預防肉毒桿菌中毒?-什麼是肉毒桿菌中毒?,最新消息,肉毒桿菌中毒
myURL-https://www.cdc.gov.tw/Category/MPage/eUrAiE0iD8mpmTZ44VRr8w,肉毒桿菌中毒有哪些重要指引教材?,肉毒桿菌中毒會有什麼症狀?-如何預防肉毒桿菌中毒?-什麼是肉毒桿菌中毒?,重要指引及教材,肉毒桿菌中毒
,肉毒桿菌中毒該如何家裡清潔?,肉毒桿菌中毒會有什麼症狀?-如何預防肉毒桿菌中毒?-什麼是肉毒桿菌中毒?,家裡清潔,肉毒桿菌中毒
,肉毒桿菌中毒有哪些重要表單?,肉毒桿菌中毒會有什麼症狀?-如何預防肉毒桿菌中毒?-什麼是肉毒桿菌中毒?,重要表單,肉毒桿菌中毒
myURL-https://www.cdc.gov.tw/Category/QAPage/GAqgXFPtLSEX4y2m66Egcw,肉毒桿菌中毒的問與答?,肉毒桿菌中毒會有什麼症狀?-如何預防肉毒桿菌中毒?-什麼是肉毒桿菌中毒?,問與答,肉毒桿菌中毒
myURL-https://www.cdc.gov.tw/Category/List/CuCfI0Tp7jXHdNa8AzXK6w,肉毒桿菌中毒有哪些研究出版?,肉毒桿菌中毒會有什麼症狀?-如何預防肉毒桿菌中毒?-什麼是肉毒桿菌中毒?,研究出版,肉毒桿菌中毒
myURL-https://www.cdc.gov.tw/Category/List/Rg3A5561bJTIiymQBEprhg,肉毒桿菌中毒有哪些宣導素材?,肉毒桿菌中毒會有什麼症狀?-如何預防肉毒桿菌中毒?-什麼是肉毒桿菌中毒?,宣導素材,肉毒桿菌中毒
李斯特菌症（Listeriosis）是由單核細胞增多性李斯特菌（Listeria monocytogenes，以下簡稱李斯特菌）感染產生的感染症<br />感染李斯特菌後的臨床表現會因引發侵襲性感染或非侵襲性感染而有所差異，疾病嚴重程度取決於受感染者的免疫狀況<br />侵襲性感染（invasive infection），非侵襲性感染（non-invasive infection）<br />,什麼是李斯特菌症?,李斯特菌症會有什麼症狀?-如何預防李斯特菌症?-疑似感染李斯特菌症了怎麼辦?,認識疾病,李斯特菌症
好問題！免疫力正常者不易遭受李斯特菌感染或感染後僅有腹瀉、噁心、嘔吐等腸胃道症狀，然而對年長者、免疫力低下的族群、孕婦、胎兒及新生兒則可能引發侵襲性感染<br />依據世界衛生組織研究報告，李斯特菌症可分為侵襲性感染及非侵襲性感染兩大類:<br /> 1.非侵襲性感染：主要以發燒、腹瀉、噁心、嘔吐之自限性（self-limited）腸胃炎表現<br /> 2.侵襲性感染：可導致敗血症及中樞神經系統感染（以腦膜炎、腦膜腦炎最為常見），伴隨死亡風險，主要發生在孕婦、胎兒、新生兒、免疫力低下者及年長者<br />,李斯特菌症會有什麼症狀?,李斯特菌症傳染途徑為何?-李斯特菌症流行地區有哪些?-如何預防李斯特菌症?,臨床症狀,李斯特菌症
依據世界衛生組織(WHO)2015年研究報告資料，李斯特菌症致死率可達25.9%。,罹患李斯特菌症的嚴重性?,李斯特菌症傳染途徑為何?-李斯特菌症流行地區有哪些?-如何預防李斯特菌症?,嚴重性,李斯特菌症
感染後的疾病嚴重程度取決於受感染者的免疫狀況，較不具症狀特異性。<br />免疫力正常者不易遭受李斯特菌感染，或感染後僅有腹瀉、噁心、嘔吐等腸胃道症狀；然而年長者、免疫力低下的族群、孕婦、胎兒及新生兒，則可能引發侵襲性感染。<br />,李斯特菌症有什麼危險徵兆?,李斯特菌症傳染途徑為何?-李斯特菌症流行地區有哪些?-如何預防李斯特菌症?,危險徵兆,李斯特菌症
李斯特菌症侵襲性感染者，可能引起敗血症、腦膜炎、骨髓炎、心包膜炎、腹膜炎等，伴隨死亡風險。,李斯特菌症有什麼併發症?,李斯特菌症傳染途徑為何?-李斯特菌症流行地區有哪些?-如何預防李斯特菌症?,併發症,李斯特菌症
年長者、免疫力低下者、孕婦及新生兒等是李斯特菌症易感族群。,李斯特菌症有哪些高風險族群?,李斯特菌症有什麼併發症?-如何預防李斯特菌症?-除了接種或投藥外的李斯特菌症預防方法?,高風險族群,李斯特菌症
1.主要是透過食用受李斯特菌污染的食物或水而感染<br /> 2.孕婦感染後可經由胎盤將李斯特菌傳染給胎兒，新生兒亦可能在出生過程中，因接觸母親產道的李斯特菌而受到感染<br /> 3.李斯特菌症亦是人畜共通傳染病，少數病例是經由直接接觸李斯特菌而感染，例如獸醫或畜產工作者經接觸帶菌動物或家畜排泄物而感染。,李斯特菌症傳染途徑為何?,李斯特菌症流行地區有哪些?-李斯特菌症會有什麼症狀?-如何預防李斯特菌症?,傳染方式,李斯特菌症
潛伏期為3至70 天，通常為21天<br />人與人間的直接傳染相當罕見，除了孕婦可經由胎盤傳染給胎兒，或新生兒於產婦分娩，經過產道時感染外，目前尚無人傳人的案例<br />,李斯特菌症潛伏期和可傳染期?,李斯特菌症有哪些高風險族群?-李斯特菌症傳染途徑為何?-李斯特菌症流行地區有哪些?,潛伏期,李斯特菌症
最新資訊可參考衛生福利部疾病管制署「傳染病統計資料查詢系統」動態訊息<br /><a target='_blank' href='https://nidss.cdc.gov.tw/ch/'>https://nidss.cdc.gov.tw/ch/</a>。<br />,李斯特菌症的國內流行期?,李斯特菌症流行地區有哪些?-李斯特菌症傳染途徑為何?-李斯特菌症有哪些高風險族群?,流行期,李斯特菌症
李斯特菌症屬於全球性疾病，曾於歐洲（如：義大利、德國、英國及法國等)與北美洲（美國、加拿大等）引起疫情<br />許多拉丁美洲國家亦曾有散發病例（墨西哥、阿根廷等），中國大陸和日本也曾有食品污染李斯特菌報告<br />依據世界衛生組織（WHO）2015年研究報告統計，全球發生率較嚴重的區域為墨西哥以南的美洲地區<br />,李斯特菌症流行地區有哪些?,李斯特菌症有什麼併發症?-如何預防李斯特菌症?-除了接種或投藥外的李斯特菌症預防方法?,流行地區,李斯特菌症
目前無疫苗可預防，由於李斯特菌症主要是經由食用遭汙染的食物而感染，此菌於冷藏室的4℃條件下可持續生長繁殖，需加熱至72°C以上才可殺死，因此，熟食及謹慎處理食品、避免汙染是最重要的預防方法。,如何預防李斯特菌症?,我想了解李斯特菌症疫苗?-李斯特菌症會有什麼症狀?-疑似感染李斯特菌症了怎麼辦?,預防方法,李斯特菌症
1.處理生熟食需使用不同器具，避免交叉污染<br /> 2.處理生食後須徹底洗淨雙手及器具<br /> 3.肉類應澈底煮熟<br /> 4.分切瓜果後應儘早食用，避免置於室溫超過4小時或冷藏超過保存期限<br /> 5.避免食用未經殺菌的生乳及其乳製品<br /> 6.對於易腐敗的食品(如：海鮮、禽及畜肉類等)以及即食性食品(如：分切的生鮮蔬果、涼拌蔬菜及肉類等)，宜儘早食用完畢<br /> 7.高風險族群應避免食用低溫保存之肉醬、即食肉類加工品、即食食品、剩菜及未經殺菌程序的乳製品等；若要食用，請於食用前充分加熱；處理食物時，應避免熱狗等即食肉類加工品的汁液接觸到其他食品，並於處理後澈底洗淨雙手及器具。,除了接種或投藥外的李斯特菌症預防方法?,李斯特菌症有什麼危險徵兆?-李斯特菌症的國內流行期?-接種李斯特菌症疫苗需要額外付費嗎?,以外預防方法,李斯特菌症
目前無疫苗可預防。<br />,哪裡可以接種李斯特菌症疫苗？,李斯特菌症有什麼危險徵兆?-李斯特菌症的國內流行期?-接種李斯特菌症疫苗需要額外付費嗎?,接種地點,李斯特菌症
目前無疫苗或藥品可預防。<br />,何時需要進行李斯特菌症的預防接種或投藥?,接種李斯特菌症疫苗該帶什麼證件?-有李斯特菌症疫苗的擴大施打對象嗎?-接種李斯特菌症疫苗前要經過醫師評估?,何時接種,李斯特菌症
目前無疫苗或藥品可預防。<br />,我可以公費接種李斯特菌症疫苗或投藥嗎?,有李斯特菌症疫苗的擴大施打對象嗎?-我想了解李斯特菌症疫苗?-接種李斯特菌症疫苗前要經過醫師評估?,公費疫苗,李斯特菌症
目前無疫苗可預防。<br />,接種李斯特菌症疫苗該帶什麼證件?,有李斯特菌症疫苗的擴大施打對象嗎?-我可以公費接種李斯特菌症疫苗或投藥嗎?-接種李斯特菌症疫苗前要經過醫師評估?,接種證件,李斯特菌症
目前無疫苗可預防。<br />,有李斯特菌症疫苗的擴大施打對象嗎?,我想了解李斯特菌症疫苗?-我可以公費接種李斯特菌症疫苗或投藥嗎?-接種李斯特菌症疫苗前要經過醫師評估?,疫苗擴大施打對象,李斯特菌症
目前無疫苗可預防。<br />,接種李斯特菌症疫苗前要經過醫師評估?,有李斯特菌症疫苗的擴大施打對象嗎?-我可以公費接種李斯特菌症疫苗或投藥嗎?-我想了解李斯特菌症疫苗?,疫苗醫師評估,李斯特菌症
目前無疫苗可預防。<br />,接種李斯特菌症疫苗需要額外付費嗎?,李斯特菌症會有什麼症狀?-如何預防李斯特菌症?-疑似感染李斯特菌症了怎麼辦?,疫苗費用,李斯特菌症
目前無疫苗可預防。<br />,我現在適合接種李斯特菌症疫苗嗎?,李斯特菌症疫苗保護力可以持續多久?-如何預防李斯特菌症?-我想了解李斯特菌症疫苗?,合適接種,李斯特菌症
目前無疫苗或藥品可預防。<br />,我想了解李斯特菌症疫苗?,李斯特菌症疫苗保護力可以持續多久?-了解李斯特菌症用藥?-接種李斯特菌症疫苗後會有什麼副作用?,疫苗接種,李斯特菌症
目前無疫苗可預防。<br />,李斯特菌症疫苗有哪些廠牌?,李斯特菌症疫苗保護力可以持續多久?-接種李斯特菌症疫苗後會有什麼副作用?-如何預防李斯特菌症?,疫苗類別,李斯特菌症
目前無疫苗可預防。<br />,李斯特菌症疫苗該接種幾劑?,李斯特菌症疫苗保護力可以持續多久?-接種李斯特菌症疫苗後會有什麼副作用?-如何預防李斯特菌症?,接種幾劑,李斯特菌症
目前無疫苗可預防。<br />,李斯特菌症疫苗保護力可以持續多久?,我現在適合接種李斯特菌症疫苗嗎?-李斯特菌症疫苗有哪些廠牌?-李斯特菌症疫苗該接種幾劑?,疫苗保護力,李斯特菌症
目前無疫苗或藥品可預防。<br />,接種李斯特菌症疫苗後或投藥後要注意什麼?,李斯特菌症疫苗保護力可以持續多久?-李斯特菌症疫苗有哪些廠牌?-除了接種或投藥外的李斯特菌症預防方法?,接種注意事項,李斯特菌症
目前無疫苗或藥品可預防。<br />,接種李斯特菌症疫苗後會有什麼副作用?,李斯特菌症疫苗保護力可以持續多久?-疑似罹患李斯特菌症要去哪裡就醫?-疑似罹患李斯特菌症要去哪裡就醫?,疫苗副作用,李斯特菌症
若出現疑似症狀時，請儘速至附近醫療院所就醫。,疑似感染李斯特菌症了怎麼辦?,疑似罹患李斯特菌症要去哪裡就醫?-接種李斯特菌症疫苗後會有什麼副作用?-李斯特菌症會有什麼症狀?,疑似感染,李斯特菌症
請配合醫護人員指示進行治療。,罹患李斯特菌症要注意什麼?,李斯特菌症疫苗保護力可以持續多久?-接種李斯特菌症疫苗後會有什麼副作用?-李斯特菌症要怎麼治療?,感染注意事項,李斯特菌症
不需要。<br />,我需要做李斯特菌症篩檢嗎?,李斯特菌症要怎麼治療?-李斯特菌症傳染途徑為何?-李斯特菌症流行地區有哪些?,篩檢,李斯特菌症
請儘速至附近醫療院所就醫。,疑似罹患李斯特菌症要去哪裡就醫?,我需要做李斯特菌症篩檢嗎?-李斯特菌症傳染途徑為何?-李斯特菌症有哪些高風險族群?,就醫地點,李斯特菌症
依據醫師診斷及評估，給予妥適的抗生素治療。,李斯特菌症要怎麼治療?,我能公費使用李斯特菌症用藥?-如何預防李斯特菌症?-除了接種或投藥外的李斯特菌症預防方法?,診斷與治療,李斯特菌症
李斯特菌症可以健保用藥治療。<br />,我能公費使用李斯特菌症用藥?,服用李斯特菌症用藥有哪些副作用?-李斯特菌症用藥有哪些廠牌?-李斯特菌症用藥可否自行停藥?,公費藥劑,李斯特菌症
請依醫師建議進行治療。<br />,我適合使用李斯特菌症用藥?,李斯特菌症要怎麼治療?-李斯特菌症用藥可否自行停藥?-了解李斯特菌症用藥?,合適用藥,李斯特菌症
請依醫師建議進行治療。<br />,能自行領用李斯特菌症用藥?,服用李斯特菌症用藥有哪些副作用?-這是李斯特菌症治療後的副作用嗎?-了解李斯特菌症用藥?,自行領藥,李斯特菌症
治療藥品可由全民健康保險給付。<br />,自費李斯特菌症用藥藥多少錢?,李斯特菌症要怎麼治療?-李斯特菌症用藥有哪些廠牌?-李斯特菌症用藥後要注意什麼?,自費用藥,李斯特菌症
各家醫療院所儲備用藥不盡相同，請洽各醫療院所。<br />,了解李斯特菌症用藥?,李斯特菌症用藥後要注意什麼?-李斯特菌症用藥可否自行停藥?-服用李斯特菌症用藥有哪些副作用?,用藥介紹,李斯特菌症
各家醫療院所儲備用藥不盡相同，請洽各醫療院所。<br />,李斯特菌症用藥有哪些廠牌?,我能公費使用李斯特菌症用藥?-李斯特菌症用藥後要注意什麼?-服用李斯特菌症用藥有哪些副作用?,用藥類別,李斯特菌症
若用藥後出現任何不適情形，請立即諮詢開立處方的臨床醫師。<br />,李斯特菌症用藥後要注意什麼?,這是李斯特菌症治療後的副作用嗎?-李斯特菌症用藥有哪些廠牌?-服用李斯特菌症用藥有哪些副作用?,用藥注意事項,李斯特菌症
請參考用藥說明。<br />,這是李斯特菌症治療後的副作用嗎?,李斯特菌症要怎麼治療?-服用李斯特菌症用藥有哪些副作用?-李斯特菌症用藥後要注意什麼?,治療副作用,李斯特菌症
請參考用藥說明。<br />服藥後發生不適或緊急之情況，應立即向醫師諮詢或接受必要之處置。<br />,服用李斯特菌症用藥有哪些副作用?,我能公費使用李斯特菌症用藥?-李斯特菌症用藥後要注意什麼?-服用李斯特菌症用藥有哪些副作用?,用藥副作用,李斯特菌症
請遵循醫囑用藥。<br />,李斯特菌症用藥可否自行停藥?,李斯特菌症要怎麼治療?-這是李斯特菌症治療後的副作用嗎?-了解李斯特菌症用藥?,自行停藥,李斯特菌症
李斯特菌症除母嬰垂直感染外，目前尚無人傳人的案例，但部分病患須住院治療無法上班上課；建議生病期間接受治療並儘量休息以儘早恢復。<br />,罹患李斯特菌症有需要隔離?,李斯特菌症會有什麼症狀?-如何預防李斯特菌症?-疑似感染李斯特菌症了怎麼辦?,隔離,李斯特菌症
myURL-https://www.cdc.gov.tw/Category/List/sAbA2OQ5PvAizlc94U0t3Q,李斯特菌症有什麼最新消息?,李斯特菌症會有什麼症狀?-如何預防李斯特菌症?-什麼是李斯特菌症?,最新消息,李斯特菌症
myURL-https://www.cdc.gov.tw/Category/MPage/9zXaeME0mKiLpgGTUZt4Pg,李斯特菌症有哪些重要指引教材?,李斯特菌症會有什麼症狀?-如何預防李斯特菌症?-什麼是李斯特菌症?,重要指引及教材,李斯特菌症
,李斯特菌症該如何家裡清潔?,李斯特菌症會有什麼症狀?-如何預防李斯特菌症?-什麼是李斯特菌症?,家裡清潔,李斯特菌症
,李斯特菌症有哪些重要表單?,李斯特菌症會有什麼症狀?-如何預防李斯特菌症?-什麼是李斯特菌症?,重要表單,李斯特菌症
myURL-https://www.cdc.gov.tw/Category/QAPage/nZBPsGHgzzW-Ujb84O0gXw,李斯特菌症的問與答?,李斯特菌症會有什麼症狀?-如何預防李斯特菌症?-什麼是李斯特菌症?,問與答,李斯特菌症
myURL-https://www.cdc.gov.tw/Category/List/Ag0Kcf7zt_wxFNpHLbOdfg,李斯特菌症有哪些研究出版?,李斯特菌症會有什麼症狀?-如何預防李斯特菌症?-什麼是李斯特菌症?,研究出版,李斯特菌症
myURL-https://www.cdc.gov.tw/Category/List/kZaIofPArWwp9aI9L8rufA,李斯特菌症有哪些宣導素材?,李斯特菌症會有什麼症狀?-如何預防李斯特菌症?-什麼是李斯特菌症?,宣導素材,李斯特菌症
兔熱病為感染 Francisella tularensis 所引起之細菌性人畜共通傳染病，由於兔子是其重要感染源<br />另外，可能透過空氣傳播，被認為具有發展生物戰與生物恐怖攻擊的潛力<br />,什麼是兔熱病?,兔熱病會有什麼症狀?-如何預防兔熱病?-疑似感染兔熱病了怎麼辦?,認識疾病,兔熱病
好問題！發病症狀與傳染途徑有關，根據感染方式及部位，可以分為數種。最常見為潰瘍腺體型，經由叮咬感染，在病源入侵處會產生一小潰瘍。,兔熱病會有什麼症狀?,兔熱病傳染途徑為何?-兔熱病流行地區有哪些?-如何預防兔熱病?,臨床症狀,兔熱病
好問題！發病症狀與傳染途徑有關，根據感染方式及部位，可以分為數種。最常見為潰瘍腺體型，經由叮咬感染，在病源入侵處會產生一小潰瘍。,罹患兔熱病的嚴重性?,兔熱病傳染途徑為何?-兔熱病流行地區有哪些?-如何預防兔熱病?,嚴重性,兔熱病
好問題！發病症狀與傳染途徑有關，根據感染方式及部位，可以分為數種。最常見為潰瘍腺體型，經由叮咬感染，在病源入侵處會產生一小潰瘍。,兔熱病有什麼危險徵兆?,兔熱病傳染途徑為何?-兔熱病流行地區有哪些?-如何預防兔熱病?,危險徵兆,兔熱病
好問題！發病症狀與傳染途徑有關，根據感染方式及部位，可以分為數種。最常見為潰瘍腺體型，經由叮咬感染，在病源入侵處會產生一小潰瘍。,兔熱病有什麼併發症?,兔熱病傳染途徑為何?-兔熱病流行地區有哪些?-如何預防兔熱病?,併發症,兔熱病
myURL-https://www.cdc.gov.tw/Category/Page/Uis3hkVa2I1oBjbaHUvmpA,兔熱病有哪些高風險族群?,兔熱病有什麼併發症?-如何預防兔熱病?-除了接種或投藥外的兔熱病預防方法?,高風險族群,兔熱病
經吸血性節肢動物傳播 :包括蜱類如落磯山革蜱(Dermacentor andersoni)、鹿蠅(Deer fly)及灰色斑蚊(Aedes cinereus)等。經由這些病媒的叮咬或是其排泄物污染宿主的皮膚，而造成感染<br />直接接觸感染: 處理有病動物及其屠體時，經由皮膚、結膜囊或口咽黏膜的細菌接觸感染，這也是人受到感染的最常見方式<br />經口感染 : 食用受污染的食物及水。<br /> 吸入感染: 即吸入被帶菌動物糞便污染的泥土、穀類或乾草的灰塵，或是在剝動物皮時的灰塵<br />,兔熱病傳染途徑為何?,兔熱病流行地區有哪些?-兔熱病會有什麼症狀?-如何預防兔熱病?,傳染方式,兔熱病
與所感染的菌量數有關，一般約為 3 - 5天，不會直接人傳人<br />病原可在鹿蠅內維持14天的傳染力，硬蜱則是在生命期內(約2年)具有傳染性<br />病原在-15℃(5℉)冷凍兔肉的情形下仍可保留傳染力長達3年以上<br />,兔熱病潛伏期和可傳染期?,兔熱病有哪些高風險族群?-兔熱病傳染途徑為何?-兔熱病流行地區有哪些?,潛伏期,兔熱病
myURL-https://www.cdc.gov.tw/Category/Page/Uis3hkVa2I1oBjbaHUvmpA,兔熱病的國內流行期?,兔熱病流行地區有哪些?-兔熱病傳染途徑為何?-兔熱病有哪些高風險族群?,流行期,兔熱病
以北緯30至70度之間區域，如:美國。,兔熱病流行地區有哪些?,兔熱病有什麼併發症?-如何預防兔熱病?-除了接種或投藥外的兔熱病預防方法?,流行地區,兔熱病
在流行區要避免受到吸血寄生蟲與蚊蟲叮咬 且避免生飲河水、沐浴或游泳等<br />當狩獵動物、剝皮或處理動物屍體時（特別是兔子）需穿戴防水的手套，烹調野兔或嚙齒動物亦要全程使用，且肉類必須煮熟才可食用； 禁止使用船、貨車跨區域運送感染的動物<br />在實驗室內，必須在負壓的微生物操作實驗台培養土拉倫病球桿菌，並且須配戴防護面具、防護衣及防水手套<br />,如何預防兔熱病?,我想了解兔熱病疫苗?-兔熱病會有什麼症狀?-疑似感染兔熱病了怎麼辦?,預防方法,兔熱病
在流行區要避免受到吸血寄生蟲與蚊蟲叮咬 且避免生飲河水、沐浴或游泳等<br />當狩獵動物、剝皮或處理動物屍體時（特別是兔子）需穿戴防水的手套，烹調野兔或嚙齒動物亦要全程使用，且肉類必須煮熟才可食用； 禁止使用船、貨車跨區域運送感染的動物<br />在實驗室內，必須在負壓的微生物操作實驗台培養土拉倫病球桿菌，並且須配戴防護面具、防護衣及防水手套<br />,除了接種或投藥外的兔熱病預防方法?,兔熱病有什麼危險徵兆?-兔熱病的國內流行期?-接種兔熱病疫苗需要額外付費嗎?,以外預防方法,兔熱病
兔熱病目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！。,何時需要進行兔熱病的預防接種或投藥?,接種兔熱病疫苗該帶什麼證件?-有兔熱病疫苗的擴大施打對象嗎?-接種兔熱病疫苗前要經過醫師評估?,何時接種,兔熱病
兔熱病目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！。,我可以公費接種兔熱病疫苗或投藥嗎?,有兔熱病疫苗的擴大施打對象嗎?-我想了解兔熱病疫苗?-接種兔熱病疫苗前要經過醫師評估?,公費疫苗,兔熱病
兔熱病目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！。,接種兔熱病疫苗該帶什麼證件?,有兔熱病疫苗的擴大施打對象嗎?-我可以公費接種兔熱病疫苗或投藥嗎?-接種兔熱病疫苗前要經過醫師評估?,接種證件,兔熱病
兔熱病目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！。,有兔熱病疫苗的擴大施打對象嗎?,我想了解兔熱病疫苗?-我可以公費接種兔熱病疫苗或投藥嗎?-接種兔熱病疫苗前要經過醫師評估?,疫苗擴大施打對象,兔熱病
